brand,battery,ram(GB),storage(GB),price(USD)
Oppo,5000,4,64,517.28
Sony,4500,6,128,746.0
Oppo,4310,8,128,300.0
Samsung,5000,4,32,428.47
Honor,5000,8,128,170.0
Realme,5000,8,64,405.0
Xiaomi,5000,4,64,100.0
Realme,5000,6,128,130.0
Realme,5000,8,128,170.0
Realme,4500,8,128,210.0
Xiaomi,4520,8,128,359.988
Xiaomi,4520,8,128,479.988
Vivo,4400,8,128,350.0
Honor,5000,8,64,110.0
Huawei,4000,8,128,600.0
Oppo,5000,8,128,151.9
Vivo,4000,8,128,350.0
Oppo,4310,8,128,215.0
Vivo,4000,8,128,350.0
Vivo,4000,8,128,350.0
Xiaomi,5065,6,128,260.0
Samsung,5000,8,128,220.0
Vivo,5000,8,128,350.0
Oppo,4300,8,128,330.0
Realme,5000,2,32,90.0
Vivo,5000,3,32,350.0
Honor,3800,8,128,270.0
Realme,5000,6,64,445.0
